Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description
Q96HA7;Q96HA7-2	Q96HA7;Q96HA7-2	TONSL_HUMAN	TONSL	Tonsoku-like protein
Q96HA8;Q96HA8-2	Q96HA8;E5RIY9;Q96HA8-2	NTAQ1_HUMAN	NTAQ1	Protein N-terminal glutamine amidohydrolase
Q96HC4	Q96HC4;A0A0D9SFR4	PDLI5_HUMAN	PDLIM5	PDZ and LIM domain protein 5
Q96HC4;Q96HC4-6	Q96HC4;Q96HC4-3;Q96HC4-2;Q96HC4-4;Q96HC4-6;Q96HC4-7;H0YBI4	PDLI5_HUMAN	PDLIM5	PDZ and LIM domain protein 5
Q96HD1	Q96HD1;A0A669KAV0;A0A804HJB9;A0A804HJJ0;A0A804HJM5;A0A804HKD9;A0A804HKP7;A0A804HKP9;A0A804HL07;A0A804HL60;A0A8C8KJP3;Q96HD1-2	CREL1_HUMAN	CRELD1	Protein disulfide isomerase CRELD1
Q96HD9	Q96HD9	ACY3_HUMAN	ACY3	N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming)
Q96HE7	Q96HE7;G3V3E6;G3V5B3	ERO1A_HUMAN	ERO1A	ERO1-like protein alpha
Q96HF1	Q96HF1	SFRP2_HUMAN	SFRP2	Secreted frizzled-related protein 2
Q96HL8;Q96HL8-2	Q96HL8;Q96HL8-2;Q96HL8-3;Q96HL8-4;H7C499	SH3Y1_HUMAN	SH3YL1	SH3 domain-containing YSC84-like protein 1
Q96HN2-2	Q96HN2;Q96HN2-2	SAHH3_HUMAN	AHCYL2	Isoform 2 of Adenosylhomocysteinase 3
Q96HP0	Q96HP0;K7ESB7	DOCK6_HUMAN	DOCK6	Dedicator of cytokinesis protein 6
Q96HQ2	Q96HQ2	C2AIL_HUMAN	CDKN2AIPNL	CDKN2AIP N-terminal-like protein
Q96HR3;Q96HR3-2	Q96HR3;Q96HR3-2	MED30_HUMAN	MED30	Mediator of RNA polymerase II transcription subunit 30
Q96HR8-2	Q96HR8;Q96HR8-2	NAF1_HUMAN	NAF1	Isoform 2 of H/ACA ribonucleoprotein complex non-core subunit NAF1
Q96HR9;Q96HR9-2	Q96HR9;Q96HR9-2	REEP6_HUMAN	REEP6	Receptor expression-enhancing protein 6
Q96HS1	Q96HS1;Q96HS1-2;A0A994J4Y8	PGAM5_HUMAN	PGAM5	Serine/threonine-protein phosphatase PGAM5, mitochondrial
Q96HU1	Q96HU1;Q96HU1-2;B0QY81;H0Y7V2	SGSM3_HUMAN	SGSM3	Small G protein signaling modulator 3
Q96HU8	Q96HU8;A0A1B0GVC3	DIRA2_HUMAN	DIRAS2	GTP-binding protein Di-Ras2
Q96HW7	Q96HW7;A0A8Q3SHL8;A0A8Q3SHM4;A0A8Q3SHU3;A0A8Q3SII1;A0A8Q3WKB9;A0A8Q3WKC3;A0A8Q3WKC7;A0A8Q3WKC9;A0A8V8TLR7	INT4_HUMAN	INTS4	Integrator complex subunit 4
Q96HY6	Q96HY6;A0A0A0MRX2;Q96HY6-2	DDRGK_HUMAN	DDRGK1	DDRGK domain-containing protein 1
Q96I15	Q96I15;A0A0A0MQU4;C9JNL5;F8WBU3;F8WCL3;H7C280;H7C4A1;Q96I15-2	SCLY_HUMAN	SCLY	Selenocysteine lyase
Q96I24	Q96I24;Q96I24-2	FUBP3_HUMAN	FUBP3	Far upstream element-binding protein 3
Q96I25	Q96I25;H0Y6J6;Q5W010;Q5W011;Q5W012	SPF45_HUMAN	RBM17	Splicing factor 45
Q96I34	Q96I34	PP16A_HUMAN	PPP1R16A	Protein phosphatase 1 regulatory subunit 16A
Q96I59	Q96I59;A0A8Q3SHT7;A0A8Q3SIK4;A0A8Q3WKF4;A0A8Q3WKI6;A0A8Q3SHL5;A0A8Q3SHN4;A0A8Q3SHP1;A0A8Q3SHS9;A0A8Q3SHT5;A0A8Q3SHU1;A0A8Q3SHV4;A0A8Q3WKD4;A0A8Q3WKD9;A0A8Q3WKE5;A0A8Q3WLI0;A0A8Q3WLT2;E9PRK2	SYNM_HUMAN	NARS2	Probable asparagine--tRNA ligase, mitochondrial
Q96I82	Q96I82;Q96I82-2	KAZD1_HUMAN	KAZALD1	Kazal-type serine protease inhibitor domain-containing protein 1
Q96I99	Q96I99;H0Y852	SUCB2_HUMAN	SUCLG2	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial
Q96I99;Q96I99-2	Q96I99;Q96I99-2;E9PDQ8	SUCB2_HUMAN	SUCLG2	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial
Q96IF1	Q96IF1	AJUBA_HUMAN	AJUBA	LIM domain-containing protein ajuba
Q96IG2	Q96IG2;J3KTA1	FXL20_HUMAN	FBXL20	F-box/LRR-repeat protein 20
Q96II8;Q96II8-4	Q96II8;Q96II8-2;Q96II8-4;E9PD99;H7C0J8;H7C1G3	LRCH3_HUMAN	LRCH3	DISP complex protein LRCH3
Q96II8;Q96II8-4;Q9Y2L9;Q9Y2L9-2;Q9Y2L9-3	Q96II8;Q9Y2L9;Q96II8-2;Q96II8-4;Q9Y2L9-2;Q9Y2L9-3;E9PD99;H7C0J8;H7C1G3	LRCH1_HUMAN;LRCH3_HUMAN	LRCH1;LRCH3	DISP complex protein LRCH3
Q96IJ6	Q96IJ6;A0A087WUI8;A0A804HIS0;C9JAH0;F8WD54;Q96IJ6-2	GMPPA_HUMAN	GMPPA	Mannose-1-phosphate guanyltransferase alpha
Q96IK1	Q96IK1;Q96IK1-2	BOD1_HUMAN	BOD1	Biorientation of chromosomes in cell division protein 1
Q96IM9	Q96IM9;A0A0A0MRQ7;X1WI30	DYDC2_HUMAN	DYDC2	DPY30 domain-containing protein 2
Q96IQ7;Q96IQ7-2	Q96IQ7;Q96IQ7-2	VSIG2_HUMAN	VSIG2	V-set and immunoglobulin domain-containing protein 2
Q96IQ9-2	Q96IQ9;Q96IQ9-2	ZN414_HUMAN	ZNF414	Isoform 2 of Zinc finger protein 414
Q96IR7	Q96IR7	HPDL_HUMAN	HPDL	4-hydroxyphenylpyruvate dioxygenase-like protein
Q96IU4	Q96IU4;F8W9U3;Q96IU4-2	ABHEB_HUMAN	ABHD14B	Putative protein-lysine deacylase ABHD14B
Q96IV0	Q96IV0;Q96IV0-3;Q96IV0-5	NGLY1_HUMAN	NGLY1	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase
Q96IX5	Q96IX5	ATPMK_HUMAN	ATP5MK	ATP synthase membrane subunit K, mitochondrial
Q96IY1	Q96IY1	NSL1_HUMAN	NSL1	Kinetochore-associated protein NSL1 homolog
Q96IY4	Q96IY4;A0A087WSY5	CBPB2_HUMAN	CPB2	Carboxypeptidase B2
Q96IY4;Q96IY4-2	Q96IY4;A0A087WSY5;Q96IY4-2	CBPB2_HUMAN	CPB2	Carboxypeptidase B2
Q96IZ0	Q96IZ0	PAWR_HUMAN	PAWR	PRKC apoptosis WT1 regulator protein
Q96IZ0;Q9ULJ8;Q9ULJ8-3;Q9ULJ8-4;Q9ULJ8-5	Q96IZ0;Q9ULJ8;Q9ULJ8-3;Q9ULJ8-4;Q9ULJ8-5;H0YHP5	NEB1_HUMAN;PAWR_HUMAN	PAWR;PPP1R9A	PRKC apoptosis WT1 regulator protein
Q96IZ7;Q96IZ7-2	Q96IZ7;A0A804HJC0;A0A804HJI2;A0A804HLK3;C9JVB3;H7C5Q0;Q96IZ7-2	RSRC1_HUMAN	RSRC1	Serine/Arginine-related protein 53
Q96J01	Q96J01;D6REC9	THOC3_HUMAN	THOC3	THO complex subunit 3
Q96J01;Q96J01-2	Q96J01;D6RGZ2;Q96J01-2	THOC3_HUMAN	THOC3	THO complex subunit 3
Q96J02;Q96J02-2	Q96J02;A0A590UJQ1;A0A590UK44;Q96J02-2;A0A1W2PNZ8;A0A590UK95;A0A8V8TKK4;Q96J02-3	ITCH_HUMAN	ITCH	E3 ubiquitin-protein ligase Itchy homolog
Q96J02;Q96J02-2;Q9H0M0;Q9H0M0-3	Q96J02;Q9H0M0;A0A590UJQ1;A0A590UJW8;Q96J02-2;A0A8V8TKK4;Q96J02-3;Q9H0M0-3;Q9H0M0-6;H0YBA4	ITCH_HUMAN;WWP1_HUMAN	ITCH;WWP1	E3 ubiquitin-protein ligase Itchy homolog
Q96J65	Q96J65;A0A8J8YUR7	MRP9_HUMAN	ABCC12	ATP-binding cassette sub-family C member 12
Q96J84;Q96J84-2	Q96J84;Q96J84-2;Q96J84-3;B4DN67;Q5W0F9;Q5W0G0	KIRR1_HUMAN	KIRREL1	Kin of IRRE-like protein 1
Q96J88-3	Q96J88;Q96J88-3;Q96J88-2	ESIP1_HUMAN	EPSTI1	Isoform 3 of Epithelial-stromal interaction protein 1
Q96J92;Q9H4A3-5;Q9H4A3-6;Q9H4A3-7	Q96J92;Q9H4A3;Q9H4A3-2;Q9H4A3-5;Q9H4A3-6;Q9H4A3-7;F5GWT4;Q96J92-3;F6UYG0;K7ENT7	WNK1_HUMAN;WNK4_HUMAN	WNK1;WNK4	Serine/threonine-protein kinase WNK4
Q96J92;Q9H4A3-5;Q9H4A3-6;Q9H4A3-7;Q9Y3S1;Q9Y3S1-4	Q96J92;Q9H4A3;Q9Y3S1;E9PCD1;H0Y7T5;Q9H4A3-2;Q9H4A3-5;Q9H4A3-6;Q9H4A3-7;A6PVV2;F5GWT4;Q96J92-2;Q96J92-3;Q9Y3S1-2;Q9Y3S1-3;Q9Y3S1-4;F6UYG0;K7ENT7	WNK1_HUMAN;WNK2_HUMAN;WNK4_HUMAN	WNK1;WNK2;WNK4	Serine/threonine-protein kinase WNK4
Q96JA1	Q96JA1;Q6UXM1;Q6UXM1-2;Q96JA1-2	LRIG1_HUMAN	LRIG1	Leucine-rich repeats and immunoglobulin-like domains protein 1
Q96JB2	Q96JB2	COG3_HUMAN	COG3	Conserved oligomeric Golgi complex subunit 3
Q96JB5-4	Q96JB5;J3QRM1;Q96JB5-2;Q96JB5-3;Q96JB5-4	CK5P3_HUMAN	CDK5RAP3	Isoform 4 of CDK5 regulatory subunit-associated protein 3
Q96JC1;Q96JC1-2	Q96JC1;Q96JC1-2	VPS39_HUMAN	VPS39	Vam6/Vps39-like protein
Q96JD6;Q96JD6-4	Q96JD6;Q96JD6-4;G3V1C1	AKCL2_HUMAN	AKR1E2	1,5-anhydro-D-fructose reductase
Q96JG6;Q96JG6-3	Q96JG6;Q96JG6-3	VPS50_HUMAN	VPS50	Syndetin
Q96JG8;Q96JG8-2;Q96JG8-4	Q96JG8;Q96JG8-2;Q96JG8-4;A0A804HKI1	MAGD4_HUMAN	MAGED4	Melanoma-associated antigen D4
Q96JG8;Q96JG8-4	Q96JG8;Q96JG8-4	MAGD4_HUMAN	MAGED4	Melanoma-associated antigen D4
Q96JG9	Q96JG9;H3BS19	ZN469_HUMAN	ZNF469	Zinc finger protein 469
Q96JH7	Q96JH7	VCIP1_HUMAN	VCPIP1	Deubiquitinating protein VCPIP1
Q96JI7	Q96JI7;C4B7M2;Q96JI7-2;Q96JI7-3;A0A804HI99;A0A804HID9;A0A804HK59;A0A804HLC5;A0A804HLE6;H0YLK7	SPTCS_HUMAN	SPG11	Spatacsin
Q96JJ3	Q96JJ3;Q5JVZ4;Q5JVZ5	ELMO2_HUMAN	ELMO2	Engulfment and cell motility protein 2
Q96JJ7	Q96JJ7	TMX3_HUMAN	TMX3	Protein disulfide-isomerase TMX3
Q96JK2;Q96JK2-3	Q96JK2;Q96JK2-2;Q96JK2-3	DCAF5_HUMAN	DCAF5	DDB1- and CUL4-associated factor 5
Q96JM3	Q96JM3	CHAP1_HUMAN	CHAMP1	Chromosome alignment-maintaining phosphoprotein 1
Q96JP5	Q96JP5;Q96JP5-2;A0A0A6YYC7;H3BTR0	ZFP91_HUMAN	ZFP91	E3 ubiquitin-protein ligase ZFP91
Q96JP9;Q96JP9-2	Q96JP9;Q96JP9-2	CDHR1_HUMAN	CDHR1	Cadherin-related family member 1
Q96JQ0	Q96JQ0	PCD16_HUMAN	DCHS1	Protocadherin-16
Q96JQ2	Q96JQ2	CLMN_HUMAN	CLMN	Calmin
Q96JY6;Q96JY6-5	Q96JY6;Q96JY6-5;B3KPU0	PDLI2_HUMAN	PDLIM2	PDZ and LIM domain protein 2
Q96JZ2	Q96JZ2;Q96JZ2-2	HSH2D_HUMAN	HSH2D	Hematopoietic SH2 domain-containing protein
Q96K17	Q96K17;E9PL10	BT3L4_HUMAN	BTF3L4	Transcription factor BTF3 homolog 4
Q96K17;Q96K17-2	Q96K17;E9PL10;Q96K17-2	BT3L4_HUMAN	BTF3L4	Transcription factor BTF3 homolog 4
Q96K21	Q96K21;Q96K21-2;Q96K21-4;H3BRF9	ANCHR_HUMAN	ZFYVE19	Abscission/NoCut checkpoint regulator
Q96K49;Q96K49-2	Q96K49;A0A494BZZ8;H7C0B3;Q96K49-2	TM87B_HUMAN	TMEM87B	Transmembrane protein 87B
Q96K76-4	Q96K76;Q96K76-2;Q96K76-4	UBP47_HUMAN	USP47	Isoform 4 of Ubiquitin carboxyl-terminal hydrolase 47
Q96K80	Q96K80	ZC3HA_HUMAN	ZC3H10	Zinc finger CCCH domain-containing protein 10
Q96KB5;Q96KB5-2	Q96KB5;Q96KB5-2	TOPK_HUMAN	PBK	Lymphokine-activated killer T-cell-originated protein kinase
Q96KC2	Q96KC2	ARL5B_HUMAN	ARL5B	ADP-ribosylation factor-like protein 5B
Q96KC8	Q96KC8	DNJC1_HUMAN	DNAJC1	DnaJ homolog subfamily C member 1
Q96KG7	Q96KG7	MEG10_HUMAN	MEGF10	Multiple epidermal growth factor-like domains protein 10
Q96KG9-4	Q96KG9;Q96KG9-4;Q96KG9-2;Q96KG9-3;Q96KG9-5;Q96KG9-6;E9PK59;E9PPN3;E9PS17	SCYL1_HUMAN	SCYL1	Isoform 4 of N-terminal kinase-like protein
Q96KN1	Q96KN1	LRAT2_HUMAN	LRATD2	Protein LRATD2
Q96KN2	Q96KN2;J3KRP0	CNDP1_HUMAN	CNDP1	Beta-Ala-His dipeptidase
Q96KP1	Q96KP1	EXOC2_HUMAN	EXOC2	Exocyst complex component 2
Q96KP4	Q96KP4;J3QKT2;A0A087WVS2;A0A087WYZ1;J3KRD5;J3KSV5;J3QKQ0;J3QLU1;J3QR27;J3QRD0;J3QRH4	CNDP2_HUMAN	CNDP2	Cytosolic non-specific dipeptidase
Q96KP4-2	Q96KP4-2;J3QRA8	CNDP2_HUMAN	CNDP2	Isoform 2 of Cytosolic non-specific dipeptidase
Q96KP4;Q96KP4-2	Q96KP4;Q96KP4-2	CNDP2_HUMAN	CNDP2	Cytosolic non-specific dipeptidase
Q96KQ4	Q96KQ4;A0A3B3ISJ2;G3V5J1	ASPP1_HUMAN	PPP1R13B	Apoptosis-stimulating of p53 protein 1
Q96KQ7-2	Q96KQ7;A2ABF9;Q96KQ7-2;A0A0G2JIR1;A0A0G2JIS2;A0A0G2JK64;A0A0G2JRN8;A0A0G2JRR0;A2ABF8	EHMT2_HUMAN	EHMT2	Isoform 2 of Histone-lysine N-methyltransferase EHMT2
Q96KR1	Q96KR1	ZFR_HUMAN	ZFR	Zinc finger RNA-binding protein
Q96KR4-3	Q96KR4;F8WCE5;Q96KR4-2;Q96KR4-3	LMLN_HUMAN	LMLN	Isoform 3 of Leishmanolysin-like peptidase
Q96L33	Q96L33	RHOV_HUMAN	RHOV	Rho-related GTP-binding protein RhoV
Q96L34;Q96L34-2	P27448;Q7KZI7;Q96L34;Q9P0L2;Q7KZI7-10;Q7KZI7-11;Q7KZI7-12;Q7KZI7-13;Q7KZI7-14;Q7KZI7-15;Q7KZI7-16;Q7KZI7-2;Q7KZI7-3;Q7KZI7-4;Q7KZI7-5;Q7KZI7-6;Q7KZI7-7;Q7KZI7-8;Q7KZI7-9;A0A087X0I6;E7ETY4;E9PC69;P27448-2;P27448-3;P27448-4;P27448-6;P27448-7;P27448-8;A0A0A0MRU9;A0A7I2V2N8;A0A7I2V2U9;A0A7I2V3B9;A0A7I2V409;A0A7I2V4G7;A0A7I2V4K8;A0A7I2V4L1;A0A7I2V549;A0A7I2V5G3;A0A7I2V602;A0A7I2V639;A0A7I2YQC1;A0A7I2YQF4;A0A7I2YQF7;A0A7I2YQR3;B4DIB3;H0YJI9;H0YKP9;H0YNV4;J3KNR0;Q96L34-2;A0A7I2V2I9;A0A7I2V3C6;A0A7I2V3P5;A0A7I2V3R3;A0A7I2V4T2;A0A7I2V5H7;F5H4F6;F5H6N2;K7EK17;K7EKG8	MARK4_HUMAN	MARK4	MAP/microtubule affinity-regulating kinase 4
Q96L46	P04632;Q96L46;A0A075B7C0;A0A0C4DGQ5;K7EIV0;K7EKD8;K7ELJ7;U3KPR7;U3KQE2	CPNS2_HUMAN	CAPNS2	Calpain small subunit 2
Q96L91;Q96L91-2;Q96L91-3;Q96L91-5	Q96L91;Q96L91-2;Q96L91-3;Q96L91-4;Q96L91-5;A0A0A0MR70	EP400_HUMAN	EP400	E1A-binding protein p400
Q96L92	Q96L92;A0A5H1ZRP6;A0A2R8Y8A7;Q96L92-2;Q96L92-3	SNX27_HUMAN	SNX27	Sorting nexin-27
Q96L93-4	Q96L93;Q96L93-6;A0A1B0GTU3;Q96L93-2;Q96L93-4;Q96L93-5;A0A1B0GVS8	KI16B_HUMAN	KIF16B	Isoform 3 of Kinesin-like protein KIF16B
Q96L96	Q96L96	ALPK3_HUMAN	ALPK3	Alpha-protein kinase 3
Q96LA8	Q96LA8;A0A3B3ITK4	ANM6_HUMAN	PRMT6	Protein arginine N-methyltransferase 6
Q96LB3	Q96LB3;Q96LB3-2;A0A3B3IT46;E5RGX6;E5RH29;E5RIF0;E5RJK3	IFT74_HUMAN	IFT74	Intraflagellar transport protein 74 homolog
Q96LD4	Q96LD4;A0A0M3HER3	TRI47_HUMAN	TRIM47	E3 ubiquitin-protein ligase TRIM47
Q96LD8	Q96LD8	SENP8_HUMAN	SENP8	Sentrin-specific protease 8
Q96LI5	Q96LI5;H0Y9C1;H0Y9Z5;Q96LI5-2	CNO6L_HUMAN	CNOT6L	CCR4-NOT transcription complex subunit 6-like
Q96LI5;Q9ULM6	Q96LI5;Q9ULM6;H0Y9C1;H0Y9Z5;Q96LI5-2	CNO6L_HUMAN;CNOT6_HUMAN	CNOT6;CNOT6L	CCR4-NOT transcription complex subunit 6-like
Q96LJ7	Q96LJ7	DHRS1_HUMAN	DHRS1	Dehydrogenase/reductase SDR family member 1
Q96LJ8	Q96LJ8	UBX10_HUMAN	UBXN10	UBX domain-containing protein 10
Q96LT7	Q96LT7;A0A2R8Y5K2;A0A2R8Y5U5;A0A5F9ZHW7	CI072_HUMAN	C9orf72	Guanine nucleotide exchange factor C9orf72
Q96LX7-5	Q96LX7-5	CCD17_HUMAN	CCDC17	Isoform 2 of Coiled-coil domain-containing protein 17
Q96M27	Q96M27	PRRC1_HUMAN	PRRC1	Protein PRRC1
Q96M27;Q96M27-3	Q96M27;Q96M27-2;Q96M27-3	PRRC1_HUMAN	PRRC1	Protein PRRC1
Q96M32	Q96M32	KAD7_HUMAN	AK7	Adenylate kinase 7
Q96M96	Q96M96;E9PJX4;F8VWL3;Q96M96-3;B7Z493;E9PNX0;E9PQT1;F8W1R0	FGD4_HUMAN	FGD4	FYVE, RhoGEF and PH domain-containing protein 4
Q96ME1	Q96ME1	FXL18_HUMAN	FBXL18	F-box/LRR-repeat protein 18
Q96ME1;Q96ME1-1;Q96ME1-5	Q96ME1;Q96ME1-1;Q96ME1-2;Q96ME1-5;A0A994ENR3	FXL18_HUMAN	FBXL18	F-box/LRR-repeat protein 18
Q96ME7	Q96ME7;G3XAG1;Q96ME7-2;Q96ME7-3	ZN512_HUMAN	ZNF512	Zinc finger protein 512
Q96MF7	Q96MF7;E5RFJ1	NSE2_HUMAN	NSMCE2	E3 SUMO-protein ligase NSE2
Q96MG7	Q96MG7	NSE3_HUMAN	NSMCE3	Non-structural maintenance of chromosomes element 3 homolog
Q96MG8	Q96MG8;H0YBU4;Q96MG8-2	PCMD1_HUMAN	PCMTD1	Protein-L-isoaspartate O-methyltransferase domain-containing protein 1
Q96MH2	Q96MH2;K7EJA3;K7ELS4;K7ERG7;K7ESM2	HEXI2_HUMAN	HEXIM2	Protein HEXIM2
Q96MI6-2	Q96MI6;Q96MI6-2;H7C3S3	PPM1M_HUMAN	PPM1M	Isoform 2 of Protein phosphatase 1M
Q96MI9	Q96MI9;A0A1B0GVQ2	CBPC4_HUMAN	AGBL1	Cytosolic carboxypeptidase 4
Q96MK3	Q96MK3	FA20A_HUMAN	FAM20A	Pseudokinase FAM20A
Q96MM6	Q96MM6;Q5JX83	HS12B_HUMAN	HSPA12B	Heat shock 70 kDa protein 12B
Q96MP8;Q96MP8-2	Q96MP8;Q96MP8-2;A0A1W2PP71;A0A1W2PQ65;A0A1W2PQL2;A0A1W2PS30	KCTD7_HUMAN	KCTD7	BTB/POZ domain-containing protein KCTD7
Q96MU7;Q96MU7-2	Q96MU7;J3QR07;Q96MU7-2	YTDC1_HUMAN	YTHDC1	YTH domain-containing protein 1
Q96MU8;Q96MU8-2;Q96MU8-3	Q96MU8;Q96MU8-2;Q96MU8-3;H7BZ87	KREM1_HUMAN	KREMEN1	Kremen protein 1
Q96MW1	Q96MW1;Q86WV7;K7ER24;Q96MW1-2	CCD43_HUMAN	CCDC43	Coiled-coil domain-containing protein 43
Q96MW5	Q96MW5;B4DYU2	COG8_HUMAN	COG8	Conserved oligomeric Golgi complex subunit 8
Q96MX3	Q96MX3;A0A087WVT1	ZNF48_HUMAN	ZNF48	Zinc finger protein 48
Q96MX6	Q96MX6;Q96MX6-2	DAA10_HUMAN	DNAAF10	Dynein axonemal assembly factor 10
Q96MY1	Q96MY1;A0A087X0N3;Q96MY1-2	NOL4L_HUMAN	NOL4L	Nucleolar protein 4-like
Q96MY7;Q96MY7-2	Q96MY7;Q96MY7-2	F161B_HUMAN	FAM161B	Protein FAM161B
Q96N06;Q96N06-2	Q96N06;J3KRC8;Q96N06-2	SPT33_HUMAN	SPATA33	Spermatogenesis-associated protein 33
Q96N20	Q96N20;A0A590UJE0	ZN75A_HUMAN	ZNF75A	Zinc finger protein 75A
Q96N66;Q96N66-2	Q96N66;Q96N66-2;Q96N66-3	MBOA7_HUMAN	MBOAT7	Lysophospholipid acyltransferase 7
Q96N67;Q96N67-2;Q96N67-3;Q96N67-4;Q96N67-5;Q96N67-6	Q96N67;Q96N67-2;Q96N67-3;Q96N67-4;Q96N67-5;Q96N67-6;A0A0U1RR97;A0A1B0GWE0	DOCK7_HUMAN	DOCK7	Dedicator of cytokinesis protein 7
Q96NA2	Q96NA2	RILP_HUMAN	RILP	Rab-interacting lysosomal protein
Q96NB3	Q96NB3	ZN830_HUMAN	ZNF830	Zinc finger protein 830
Q96NC0	Q96NC0	ZMAT2_HUMAN	ZMAT2	Zinc finger matrin-type protein 2
Q96NE9-2	Q96NE9;Q96NE9-2;Q96NE9-3;G3V2L4;H0YJC1	FRMD6_HUMAN	FRMD6	Isoform 2 of FERM domain-containing protein 6
Q96NG3	Q96NG3	ODAD4_HUMAN	ODAD4	Outer dynein arm-docking complex subunit 4
Q96NL8	Q96NL8	CF418_HUMAN	CFAP418	Cilia- and flagella-associated protein 418
Q96NR8	Q96NR8	RDH12_HUMAN	RDH12	Retinol dehydrogenase 12
Q96NT1	Q96NT1	NP1L5_HUMAN	NAP1L5	Nucleosome assembly protein 1-like 5
Q96NT5;Q96NT5-2	Q96NT5;Q96NT5-2;J3QRF7	PCFT_HUMAN	SLC46A1	Proton-coupled folate transporter
Q96NU1;Q96NU1-1;Q96NU1-2;Q96NU1-4;Q96NU1-5;Q96NU1-6	Q96NU1;Q96NU1-1;Q96NU1-2;Q96NU1-4;Q96NU1-5;Q96NU1-6;A0A087WU74;A0A087WX24;A0A087WXB3;A0A087WYU3;A0A087WYW1;A0A087X1J5;A0A087X223;H7BY14;H7C3J6	SAM11_HUMAN	SAMD11	Sterile alpha motif domain-containing protein 11
Q96NW4	Q96NW4	ANR27_HUMAN	ANKRD27	Ankyrin repeat domain-containing protein 27
Q96NW7	Q96NW7;A0A075B6E9;A0A494C1A4;Q96NW7-2	LRRC7_HUMAN	LRRC7	Leucine-rich repeat-containing protein 7
Q96NY7;Q96NY7-2	Q96NY7;Q96NY7-2	CLIC6_HUMAN	CLIC6	Chloride intracellular channel protein 6
Q96NY7;Q96NY7-2;Q9NZA1	Q96NY7;Q9NZA1;A0A2R8Y615;Q9NZA1-2;A0A2R8Y4M1;A0A2R8YGW2;A0A5F9ZHK1;Q96NY7-2;Q9NZA1-3	CLIC5_HUMAN;CLIC6_HUMAN	CLIC5;CLIC6	Chloride intracellular channel protein 6
Q96NY8	Q96NY8	NECT4_HUMAN	NECTIN4	Nectin-4
Q96NY9	Q96NY9;E9PII7;H0YDE3	MUS81_HUMAN	MUS81	Crossover junction endonuclease MUS81
Q96NZ9	Q96NZ9;Q96NZ9-2;Q96NZ9-3;Q96NZ9-4;H7BY64	PRAP1_HUMAN	PRAP1	Proline-rich acidic protein 1
Q96P11-4	Q96P11;Q96P11-2;Q96P11-4;Q96P11-5	NSUN5_HUMAN	NSUN5	Isoform 4 of 28S rRNA (cytosine-C(5))-methyltransferase
Q96P16	Q96P16;Q96P16-3;A0A0C4DGQ6	RPR1A_HUMAN	RPRD1A	Regulation of nuclear pre-mRNA domain-containing protein 1A
Q96P16;Q9NQG5	Q96P16;Q9NQG5;Q96P16-3;A0A0C4DGQ6;E9PIQ9	RPR1A_HUMAN;RPR1B_HUMAN	RPRD1A;RPRD1B	Regulation of nuclear pre-mRNA domain-containing protein 1A
Q96P20;Q96P20-4;Q96P20-6	Q96P20;A0A7I2R3P8;Q96P20-2;Q96P20-3;Q96P20-4;Q96P20-5;Q96P20-6;A0A2R8YEG7;A0A7I2PJH0;A0A7I2PMC6;A0A7I2PRX0;A0A7I2UNQ2;A0A7I2YME5	NLRP3_HUMAN	NLRP3	NACHT, LRR and PYD domains-containing protein 3
Q96P44;Q96P44-2;Q96P44-3	Q96P44;F5GZK2;Q96P44-2;Q96P44-3	COLA1_HUMAN	COL21A1	Collagen alpha-1(XXI) chain
Q96P44;Q96P44-3	Q96P44;F5GZK2;Q96P44-3	COLA1_HUMAN	COL21A1	Collagen alpha-1(XXI) chain
Q96P47;Q96P47-2;Q96P47-3;Q96P47-4;Q96P47-6	Q96P47;Q9UPQ3;E7EUN2;H7C0A7;H7C211;Q96P47-2;Q96P47-3;Q96P47-4;Q96P47-6;Q9UPQ3-2;Q9UPQ3-3;C9J8Z2;C9J975;E7ESL9;H7C4F1	AGAP3_HUMAN	AGAP3	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3
Q96P47;Q96P47-2;Q96P47-4	Q96P47;Q96P47-2;Q96P47-4;Q96P47-5;H0Y873	AGAP3_HUMAN	AGAP3	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3
Q96P48;Q96P48-3	Q96P48;E7EU13;Q96P48-1;Q96P48-2;Q96P48-3;Q96P48-4	ARAP1_HUMAN	ARAP1	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1
Q96P50;Q96P50-1;Q96P50-4	Q96P50;Q96P50-1;Q96P50-4	ACAP3_HUMAN	ACAP3	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3
Q96P63-2	Q96P63-2	SPB12_HUMAN	SERPINB12	Isoform 2 of Serpin B12
Q96P70	Q96P70	IPO9_HUMAN	IPO9	Importin-9
